X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
0.18,0.24,8.53,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.24,8.52,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.52,-0.01,0.03,-0.00
0.19,0.24,8.51,-0.01,0.03,-0.00
0.19,0.25,8.51,-0.01,0.03,-0.00
0.20,0.25,8.51,-0.01,0.03,-0.00
0.20,0.25,8.51,-0.01,0.03,-0.00
0.20,0.25,8.52,-0.01,0.03,-0.00
0.19,0.24,8.52,-0.01,0.03,-0.00
0.20,0.25,8.51,-0.01,0.03,-0.00
0.19,0.25,8.51,-0.01,0.03,-0.00
0.19,0.25,8.51,-0.01,0.03,-0.00
0.18,0.25,8.51,-0.01,0.03,-0.00
0.18,0.25,8.52,-0.01,0.03,-0.00
0.19,0.25,8.51,-0.01,0.03,-0.00
0.19,0.25,8.51,-0.01,0.03,-0.00
0.19,0.24,8.51,-0.01,0.03,-0.00
0.19,0.25,8.51,-0.01,0.03,-0.00
0.18,0.25,8.52,-0.01,0.03,-0.00
0.18,0.26,8.52,-0.01,0.03,-0.00
0.18,0.25,8.52,-0.01,0.03,-0.00
0.18,0.26,8.52,-0.01,0.03,-0.00
0.19,0.25,8.52,-0.01,0.03,-0.00
0.18,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.54,-0.01,0.03,-0.00
0.19,0.26,8.53,-0.01,0.03,-0.00
0.18,0.26,8.53,-0.01,0.03,-0.00
0.18,0.25,8.53,-0.01,0.03,-0.00
0.19,0.26,8.53,-0.01,0.03,-0.00
0.19,0.25,8.52,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.20,0.24,8.52,-0.01,0.03,-0.00
0.19,0.24,8.51,-0.01,0.03,-0.00
0.19,0.24,8.52,-0.01,0.03,-0.00
0.19,0.24,8.52,-0.01,0.03,-0.00
0.19,0.24,8.52,-0.01,0.03,-0.00
0.19,0.25,8.52,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.54,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.52,-0.01,0.03,-0.00
0.19,0.25,8.51,-0.01,0.03,-0.00
0.18,0.25,8.52,-0.01,0.03,-0.00
0.18,0.25,8.52,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.18,0.24,8.51,-0.01,0.03,-0.00
0.18,0.25,8.51,-0.01,0.03,-0.00
0.18,0.25,8.51,-0.01,0.03,-0.00
0.19,0.24,8.51,-0.01,0.03,-0.00
0.18,0.24,8.52,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.23,8.52,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.18,0.25,8.54,-0.01,0.03,-0.00
0.18,0.24,8.54,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.23,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.20,0.25,8.53,-0.01,0.03,-0.00
0.20,0.25,8.53,-0.01,0.03,-0.00
0.20,0.26,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.24,8.52,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.24,8.53,-0.01,0.03,-0.00
0.19,0.24,8.52,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.53,-0.01,0.03,-0.00
0.19,0.25,8.52,-0.01,0.03,-0.00
